"(PDH-CSV 4.0) (Coordinated Universal Time)(0)","\\DatabaseVM\Processor(_Total)\% Processor Time","\\DatabaseVM\Memory\Available MBytes"
"10/28/2025 00:44:08.865","31.368883681326565238","8241"
"10/28/2025 00:44:09.871","31.646321463522355089","8241"
"10/28/2025 00:44:10.890","31.377581564462708741","8241"
"10/28/2025 00:44:11.898","30.233741894463108224","8241"
"10/28/2025 00:44:12.911","61.42160103935761839","8225"
"10/28/2025 00:44:13.932","33.827995394660689499","8224"
"10/28/2025 00:44:14.953","34.563018266979298687","8224"
"10/28/2025 00:44:15.964","34.348999114190363002","8235"
"10/28/2025 00:44:16.973","32.611725854660548407","8235"
"10/28/2025 00:44:17.979","29.72062946464293276","8235"
"10/28/2025 00:44:18.983","30.386916676315532726","8235"
"10/28/2025 00:44:19.986","29.900525293685021211","8235"
"10/28/2025 00:44:21.002","31.94855695620455549","8236"
"10/28/2025 00:44:22.013","35.069265386778411653","8236"
